ID_Cliente,Motivo,Education,Cidade,Renda_anual,Aulas,NPS,Num_Aulas,Ano_de_nascimento,Banheiros_na_casa,Quartos_na_casa,Idade,Categoria_Renda,Faixa_Etaria
0,Viagem,Graduação,São Paulo,58138.0,Inglês,4,19,1983,3.0,4.0,42,Alta,Sênior
1,Trabalho,Graduação,Taubaté,46344.0,Espanhol,4,10,1980,4.0,3.0,45,Média,Sênior
2,Estudos,Graduação,São Bernardo,71613.0,Inglês,3,59,1991,4.0,5.0,34,Alta,Adulto
3,Viagem,Graduação,São Paulo,23046.0,Espanhol,4,22,2010,1.0,1.0,15,Baixa,Jovem
4,Trabalho,Doutorado,São Paulo,58293.0,Inglês,3,8,2007,3.0,4.0,18,Alta,Jovem
5,Trabalho,Mestrado,São Paulo,60474.0,Espanhol,3,9,1993,4.0,4.0,32,Alta,Adulto
6,Viagem,Graduação,São Paulo,55635.0,Espanhol,4,12,1997,2.0,4.0,28,Alta,Adulto
7,Estudos,Doutorado,Campinas,33454.0,Inglês,3,45,2011,2.0,2.0,14,Baixa,Jovem
8,Trabalho,Doutorado,São Paulo,30351.0,Inglês,4,45,2000,1.0,2.0,25,Baixa,Jovem
9,Trabalho,Doutorado,São Bernardo,5648.0,Inglês,5,12,1976,1.0,1.0,49,Baixa,Sênior
10,Estudos,Graduação,São Paulo,52247.25135379061,Inglês,4,29,2009,3.0,1.0,16,Média,Jovem
11,Viagem,Ensino Fundamental,Taubaté,7500.0,Espanhol,4,10,2002,2.0,1.0,23,Baixa,Jovem
12,Estudos,Graduação,São Bernardo,63033.0,Inglês,3,44,1985,4.0,5.0,40,Alta,Adulto
13,Trabalho,Mestrado,São Paulo,59354.0,Espanhol,1,4,1978,4.0,4.0,47,Alta,Sênior
14,Estudos,Graduação,São Paulo,17323.0,Espanhol,4,16,2013,1.0,1.0,12,Baixa,Jovem
15,Viagem,Doutorado,São Paulo,82800.0,Inglês,3,14,1972,5.0,6.0,53,Alta,Sênior
16,Estudos,Graduação,São Paulo,41850.0,Espanhol,2,14,2006,2.0,3.0,19,Média,Jovem
17,Viagem,Graduação,São Paulo,37760.0,Espanhol,4,14,1972,2.0,2.0,53,Média,Sênior
18,Trabalho,Mestrado,São Paulo,76995.0,Inglês,4,17,1975,5.0,6.0,50,Alta,Sênior
19,Outros,Ensino Médio,São Paulo,33812.0,Espanhol,4,5,2011,2.0,2.0,14,Baixa,Jovem
20,Estudos,Graduação,São Paulo,37040.0,Espanhol,2,17,2008,2.0,2.0,17,Média,Jovem
21,Estudos,Graduação,São Paulo,2447.0,Espanhol,1,3,2005,1.0,1.0,20,Baixa,Jovem
22,Trabalho,Doutorado,São Paulo,58607.0,Inglês,2,11,1975,4.0,4.0,50,Alta,Sênior
24,Viagem,Graduação,São Paulo,40689.0,Espanhol,1,13,1977,2.0,3.0,48,Média,Sênior
